                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96752,                 3.2526,                0.98139,                0.06512,                0.96552,                0.28235,                0.22969,                0.72396,                 2.9002,                0.88038,              0.0002044,              0.0002044,              0.0002044
                      2,                0.88338,                 1.4759,                0.92081,                0.56502,                0.76383,                0.67097,                0.55605,                0.67681,                 1.3001,                0.85759,             0.00041137,             0.00041137,             0.00041137
                      3,                0.86679,                 1.0693,                0.91588,                0.65156,                0.84354,                0.83575,                0.69188,                0.69009,                 1.0435,                0.85823,             0.00061697,             0.00061697,             0.00061697
                      4,                0.82043,                0.89909,                0.90385,                0.87511,                0.88017,                0.92226,                0.78607,                0.65365,                0.74453,                 0.8549,             0.00061881,             0.00061881,             0.00061881
                      5,                0.79242,                0.79175,                0.90062,                0.90476,                0.94912,                0.96336,                0.81701,                0.64795,                0.58338,                0.85278,             0.00061881,             0.00061881,             0.00061881
                      6,                0.75961,                0.69378,                0.89346,                0.95297,                0.95856,                0.97884,                0.84051,                0.60677,                0.51321,                0.85328,             0.00061675,             0.00061675,             0.00061675
                      7,                0.75218,                0.65316,                0.89304,                0.93409,                0.95259,                0.96814,                0.83149,                 0.6029,                0.52472,                0.84537,             0.00061469,             0.00061469,             0.00061469
                      8,                0.74394,                0.62584,                0.88916,                0.97179,                0.98561,                0.98253,                0.85093,                0.61416,                0.44655,                 0.8555,             0.00061262,             0.00061262,             0.00061262
                      9,                0.73438,                0.60422,                0.88729,                0.97642,                0.97609,                0.98143,                0.85553,                 0.5801,                0.42718,                0.84188,             0.00061056,             0.00061056,             0.00061056
                     10,                0.73397,                0.58594,                0.88754,                0.97384,                0.98138,                0.97995,                0.83626,                0.61914,                0.44104,                0.85648,              0.0006085,              0.0006085,              0.0006085
                     11,                 0.7239,                0.56324,                0.89191,                0.97628,                0.98122,                0.98076,                0.86701,                0.54581,                 0.4101,                0.83722,             0.00060644,             0.00060644,             0.00060644
                     12,                0.71826,                0.55331,                0.88856,                0.97317,                0.98322,                 0.9825,                0.87029,                0.54171,                0.40312,                0.83521,             0.00060437,             0.00060437,             0.00060437
